id,dansk_navn,slaegtsnavn,planteaar,driftsorganisation,fredet_beskyttet_trae,bydelsnavn,wkb_geometry
5525,Småbladet lind,Lind,1974.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.544797827075655 55.68928912056821)
5526,Almindelig valnød,Valnød,2016.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.536146089624987 55.66362714306022)
5527,Almindelig robinie,Robinie,2019.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.575695511379543 55.673157419848685)
5528,Fyldtblomstret fuglekirsebær,Kirsebær/Blomme,2019.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.591881771243187 55.67197416198014)
5529,Ungarsk eg,Eg,2019.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.573899196616381 55.67063330117682)
5530,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.56918457661909 55.70919625741355)
5531,Spidsløn,Løn,1979.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.572067829094511 55.6693983015593)
5532,Spidsløn,Løn,2009.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.572389621882909 55.66935266366186)
5533,Spidsløn,Løn,1979.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.572215102866348 55.66930276039801)
5534,Spidsløn,Løn,1979.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.57223615063205 55.6694650689765)
