id,dansk_navn,slaegtsnavn,planteaar,driftsorganisation,fredet_beskyttet_trae,bydelsnavn,wkb_geometry
5381,Almindelig robinie,Robinie,1981.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.542516011024706 55.66985777246622)
5382,Almindelig robinie,Robinie,1981.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54269258656578 55.66990140066593)
5383,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54268035738983 55.66494950339187)
5384,Storbladet lind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.542749611546306 55.66505194393922)
5385,Bredbladet røn,Røn,2005.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.58697133175982 55.62491949765249)
5386,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.542810124097565 55.665173410124964)
5387,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54287498966966 55.665282450360365)
5388,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.542946204426407 55.665416070262545)
5389,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543181428769836 55.66538437392269)
5390,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543022614578451 55.665542753959514)
5391,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543100112302673 55.66568111294084)
5392,Småbladet lind,Lind,1974.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.544769184467002 55.68936916409326)
5393,Oktoberkirsebær,Kirsebær/Blomme,2013.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.56509697349529 55.67493950369414)
5394,Storbladet lind,Lind,1850.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545851111425415 55.68884236822555)
5395,Storbladet lind,Lind,1850.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545944039717755 55.68880861946388)
5396,Lind,Lind,1995.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.55026502324449 55.68776482021073)
5397,Kejserlind,Lind,2004.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543173484360874 55.6658132911358)
5398,Småbladet lind,Lind,1989.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543262808907638 55.66552476873227)
5399,Rød-ask,Ask,2003.0,"TMF-Parker, Kirkegårde og Renhold",False,Nørrebro,POINT (12.538382045754313 55.69385462877154)
5400,Rød-ask,Ask,2003.0,"TMF-Parker, Kirkegårde og Renhold",False,Nørrebro,POINT (12.538373555687686 55.69393681044012)
5401,Småbladet lind,Lind,1998.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543550748817339 55.66586381242911)
